domain_name,row_count,null_percentage,duplicate_percentage,freshness_hours,schema_change_flag,timestamp,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score
interaction_domain,2853,0.49,0.84,11.98,0,2025-12-15 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,23,0.0,0.56,37.55,0,2025-12-15 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2482,0.0,0.0,43.91,0,2025-12-15 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,508,0.0,0.69,22.94,0,2025-12-16 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8006,0.0,0.28,38.32,0,2025-12-16 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,472,0.0,0.0,37.3,0,2025-12-16 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,225,0.0,0.0,11.66,0,2025-12-16 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2854,0.43,0.0,30.85,1,2025-12-16 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,29,0.02,0.8,47.76,0,2025-12-16 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2485,0.14,0.0,19.49,1,2025-12-16 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,505,0.0,0.6,4.8,0,2025-12-17 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8009,0.0,0.0,13.63,0,2025-12-17 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,469,0.3,0.0,9.57,0,2025-12-17 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,218,0.33,0.28,37.7,0,2025-12-17 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2860,0.29,0.0,29.31,0,2025-12-17 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,28,0.0,0.0,26.43,0,2025-12-17 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2485,0.0,0.0,15.88,0,2025-12-17 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,513,0.9,0.0,41.2,0,2025-12-18 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8003,0.67,0.0,27.03,0,2025-12-18 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,476,0.73,0.0,30.56,0,2025-12-18 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,218,0.85,0.0,9.95,1,2025-12-18 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2858,0.89,0.41,18.47,0,2025-12-18 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,25,0.62,0.0,28.81,0,2025-12-18 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2487,0.0,0.59,19.17,0,2025-12-18 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,509,0.0,0.74,17.49,0,2025-12-19 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8004,0.18,0.64,46.08,0,2025-12-19 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,472,0.0,0.0,13.7,0,2025-12-19 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,219,0.06,0.0,22.52,0,2025-12-19 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2861,0.0,0.28,33.03,0,2025-12-19 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,29,0.0,0.0,7.55,0,2025-12-19 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2484,0.0,0.22,13.34,0,2025-12-19 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,508,0.31,0.45,20.09,0,2025-12-20 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8013,0.63,0.39,28.58,0,2025-12-20 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,467,0.0,0.56,1.15,0,2025-12-20 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,219,0.0,0.0,17.98,0,2025-12-20 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2861,0.24,0.0,3.79,1,2025-12-20 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,24,0.6,0.0,24.91,0,2025-12-20 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2479,0.0,0.69,23.25,0,2025-12-20 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,511,0.0,0.0,20.08,0,2025-12-21 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8012,0.08,0.25,41.54,1,2025-12-21 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,469,0.0,0.25,30.03,0,2025-12-21 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,219,0.0,0.0,40.47,0,2025-12-21 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2861,0.0,0.88,23.98,0,2025-12-21 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,28,0.24,0.0,35.76,0,2025-12-21 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2483,0.0,0.0,39.62,0,2025-12-21 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,508,0.0,0.01,38.62,0,2025-12-22 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8007,0.71,0.0,4.72,0,2025-12-22 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,470,0.0,0.26,38.52,0,2025-12-22 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,217,0.28,0.0,12.57,0,2025-12-22 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2856,0.0,0.17,13.54,0,2025-12-22 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,21,0.12,0.93,22.72,1,2025-12-22 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2478,0.0,0.0,46.45,0,2025-12-22 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,507,0.0,0.0,3.42,0,2025-12-23 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8013,0.8,0.0,24.65,0,2025-12-23 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,466,0.0,0.0,22.97,0,2025-12-23 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,222,0.03,0.0,20.45,0,2025-12-23 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2852,0.0,0.0,14.18,1,2025-12-23 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,26,0.0,0.09,21.88,0,2025-12-23 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2479,0.0,0.2,29.42,0,2025-12-23 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,504,0.88,0.01,42.69,0,2025-12-24 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8009,0.0,0.61,9.79,0,2025-12-24 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,466,0.83,0.0,5.36,0,2025-12-24 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,226,0.0,0.58,33.69,0,2025-12-24 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2859,0.0,0.35,22.79,0,2025-12-24 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,20,0.22,0.0,40.73,0,2025-12-24 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2487,0.39,0.93,17.18,0,2025-12-24 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,507,0.0,0.83,11.76,0,2025-12-25 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8012,0.63,0.32,36.74,0,2025-12-25 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,469,0.0,0.34,35.62,0,2025-12-25 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,224,0.0,0.35,11.37,0,2025-12-25 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2851,0.0,0.98,35.49,0,2025-12-25 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,19,0.0,0.58,34.61,0,2025-12-25 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2482,0.1,0.86,4.31,0,2025-12-25 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,512,0.73,0.04,40.87,0,2025-12-26 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8009,0.42,0.0,12.0,0,2025-12-26 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,467,0.29,0.0,15.67,0,2025-12-26 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,221,0.66,0.0,3.23,1,2025-12-26 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2852,0.0,0.59,33.26,0,2025-12-26 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,28,0.61,0.49,29.59,0,2025-12-26 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2486,0.0,0.0,6.19,0,2025-12-26 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,503,0.38,0.0,11.72,0,2025-12-27 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8005,0.07,0.0,26.55,0,2025-12-27 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,473,0.0,0.4,5.2,0,2025-12-27 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,218,0.9,0.55,7.32,0,2025-12-27 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2861,0.94,0.0,38.66,0,2025-12-27 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,22,0.0,0.08,20.27,1,2025-12-27 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2481,0.0,0.55,25.68,0,2025-12-27 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,508,0.21,0.0,10.25,0,2025-12-28 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8010,0.0,0.16,5.17,0,2025-12-28 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,470,0.87,0.0,20.28,0,2025-12-28 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,218,0.65,0.92,44.96,0,2025-12-28 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2858,0.0,0.0,17.89,0,2025-12-28 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,26,0.0,0.0,20.93,0,2025-12-28 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2480,0.67,0.06,35.76,0,2025-12-28 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,513,0.13,0.75,1.79,0,2025-12-29 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8008,0.33,0.0,24.73,0,2025-12-29 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,471,0.0,0.0,19.79,0,2025-12-29 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,220,0.07,0.21,8.98,0,2025-12-29 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2852,0.0,0.0,1.31,0,2025-12-29 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,25,0.0,0.28,44.12,0,2025-12-29 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2483,0.0,0.51,30.99,0,2025-12-29 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,511,0.95,0.0,29.06,0,2025-12-30 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8003,0.71,0.0,21.89,0,2025-12-30 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,472,0.0,0.68,41.56,0,2025-12-30 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,218,0.0,0.15,2.51,0,2025-12-30 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2859,0.69,0.08,15.73,0,2025-12-30 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,21,0.53,0.0,13.65,0,2025-12-30 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2482,0.46,0.21,26.74,0,2025-12-30 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,508,0.24,0.34,32.78,0,2025-12-31 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8008,0.0,0.0,7.0,0,2025-12-31 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,469,0.0,0.28,13.31,0,2025-12-31 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,219,0.74,0.0,5.99,0,2025-12-31 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2853,0.69,0.0,12.39,0,2025-12-31 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,20,0.98,0.0,46.44,0,2025-12-31 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2481,0.82,0.0,4.86,0,2025-12-31 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,513,0.14,0.0,46.24,0,2026-01-01 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8005,0.6,0.2,21.53,0,2026-01-01 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,474,0.0,0.9,1.22,0,2026-01-01 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,222,0.2,0.0,37.15,0,2026-01-01 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2859,0.0,0.0,11.34,0,2026-01-01 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,23,0.48,0.1,13.89,0,2026-01-01 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2483,0.53,0.36,12.29,0,2026-01-01 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,505,0.71,0.0,6.45,0,2026-01-02 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8006,0.0,0.97,29.58,0,2026-01-02 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,466,0.0,0.24,4.98,0,2026-01-02 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,225,0.0,0.0,45.42,0,2026-01-02 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2857,0.87,0.8,35.9,0,2026-01-02 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,22,0.0,0.0,33.54,0,2026-01-02 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2488,0.0,0.03,23.62,0,2026-01-02 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,510,0.0,0.0,16.18,0,2026-01-03 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8009,0.45,0.03,31.76,0,2026-01-03 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,473,0.0,0.58,2.24,0,2026-01-03 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,221,0.0,0.0,3.55,0,2026-01-03 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2855,0.39,0.76,9.4,0,2026-01-03 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,21,0.0,0.0,27.97,0,2026-01-03 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2480,0.0,0.43,3.34,0,2026-01-03 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
